Type11,BillingType,Name,PhysicalAddress,PhysicalCity,PhysicalPostalCode1,OwnersName,InspectionDate1,Type1,TotHRPriority,InspectionOutcome
Restaurant,Restaurant: 51-150 Seats,10 Barrel Brewing Company,1411 NW Flanders St,Portland,97209,10 Barrel Brewing LLC,3/28/2018,Semi-Annual,100,Complied
Restaurant,Restaurant: 51-150 Seats,10 Barrel Brewing Company,1411 NW Flanders St,Portland,97209,10 Barrel Brewing LLC,7/23/2019,Semi-Annual,95,Complied
Restaurant,Restaurant: 51-150 Seats,10 Barrel Brewing Company,1411 NW Flanders St,Portland,97209,10 Barrel Brewing LLC,10/4/2018,Semi-Annual,92,Needs Reinspection
Restaurant,Restaurant: 51-150 Seats,10 Barrel Brewing Company,1411 NW Flanders St,Portland,97209,10 Barrel Brewing LLC,3/27/2019,Semi-Annual,95,Complied
Restaurant,Restaurant: 51-150 Seats,108 Bar N Grill,10845 NE Halsey St,Portland,97220,Bleu Pointie Corporation,4/11/2018,Semi-Annual,100,Complied
Restaurant,Restaurant: 51-150 Seats,108 Bar N Grill,10845 NE Halsey St,Portland,97220,Bleu Pointie Corporation,10/16/2019,Semi-Annual,100,Complied
Restaurant,Restaurant: 51-150 Seats,108 Bar N Grill,10845 NE Halsey St,Portland,97220,Bleu Pointie Corporation,10/2/2018,Semi-Annual,95,Needs Reinspection
Restaurant,Restaurant: 51-150 Seats,108 Bar N Grill,10845 NE Halsey St,Portland,97220,Bleu Pointie Corporation,4/4/2019,Semi-Annual,100,Complied
Restaurant,Restaurant: 51-150 Seats,13 Virtues,6410 SE Milwaukie Ave,Portland,97202,Philadelphia Steaks & Hoagies Inc,3/12/2019,Semi-Annual,92,Complied
Restaurant,Restaurant: 51-150 Seats,13 Virtues,6410 SE Milwaukie Ave,Portland,97202,Philadelphia Steaks & Hoagies Inc,8/30/2019,Semi-Annual,84,Needs Reinspection
Restaurant,Restaurant: 51-150 Seats,13 Virtues,6410 SE Milwaukie Ave,Portland,97202,Philadelphia Steaks & Hoagies Inc,10/10/2018,Semi-Annual,97,Complied
Restaurant,Restaurant: 16-50 Seats,15th Avenue Hophouse,1517 NE Brazee St,Portland,97212,"Ammonista, LLC",7/30/2019,Semi-Annual,97,Complied
Restaurant,Restaurant: 16-50 Seats,15th Avenue Hophouse,1517 NE Brazee St,Portland,97212,"Ammonista, LLC",1/24/2019,Semi-Annual,100,Complied
Restaurant,Benevolent,1st United Methodist,1838 SW Jefferson St,Portland,97201,1st United Methodist,8/2/2019,Semi-Annual,100,Complied
Restaurant,Benevolent,1st United Methodist,1838 SW Jefferson St,Portland,97201,1st United Methodist,1/18/2019,Semi-Annual,100,Complied
Restaurant,Benevolent,1st United Methodist,1838 SW Jefferson St,Portland,97201,1st United Methodist,8/1/2018,Semi-Annual,100,Complied
Restaurant,Restaurant: 16-50 Seats,2 Amigos Mexican Restaurant,22605 NE Halsey St F,Fairview,97024,Marquez Enterprises Inc,10/31/2018,Semi-Annual,88,Needs Reinspection
Restaurant,Restaurant: 16-50 Seats,2 Amigos Mexican Restaurant,22605 NE Halsey St F,Fairview,97024,Marquez Enterprises Inc,4/19/2019,Semi-Annual,92,Complied
Restaurant,Restaurant: 0-15 Seats,21st Century Pizza,1221 SW Jefferson St,Portland,97201,21st Century Pizza,4/12/2018,Semi-Annual,100,Complied
Restaurant,Restaurant: 0-15 Seats,21st Century Pizza,1221 SW Jefferson St,Portland,97201,21st Century Pizza,9/26/2018,Semi-Annual,100,Complied
Restaurant,Restaurant: 0-15 Seats,21st Century Pizza,1221 SW Jefferson St,Portland,97201,21st Century Pizza,9/18/2019,Semi-Annual,92,Complied
Restaurant,Restaurant: 0-15 Seats,21st Century Pizza,1221 SW Jefferson St,Portland,97201,21st Century Pizza,2/26/2019,Semi-Annual,100,Complied
Restaurant,Restaurant: 16-50 Seats,"22 Below,",1728 SW Jefferson St,Portland,97201,K&y LLC,10/5/2018,Semi-Annual,87,Complied
Restaurant,Restaurant: 16-50 Seats,"22 Below,",1728 SW Jefferson St,Portland,97201,K&y LLC,3/13/2019,Semi-Annual,97,Complied
Restaurant,Restaurant: 16-50 Seats,"22 Below,",1728 SW Jefferson St,Portland,97201,K&y LLC,4/12/2018,Semi-Annual,100,Complied
Restaurant,Restaurant: 16-50 Seats,"22 Below,",1728 SW Jefferson St,Portland,97201,K&y LLC,8/23/2019,Semi-Annual,94,Complied
Restaurant,Restaurant: 151+ Seats,23 Hoyt,529 NW 23rd Ave,Portland,97210,Balvo Llc,12/4/2018,Semi-Annual,95,Complied
Restaurant,Restaurant: 151+ Seats,23 Hoyt,529 NW 23rd Ave,Portland,97210,Balvo Llc,6/26/2019,Semi-Annual,87,Needs Reinspection
Restaurant,Restaurant: 151+ Seats,23 Hoyt,529 NW 23rd Ave,Portland,97210,Balvo Llc,3/21/2018,Semi-Annual,95,Complied
Restaurant,Restaurant: 151+ Seats,23 Hoyt,529 NW 23rd Ave,Portland,97210,Balvo Llc,12/18/2019,Semi-Annual,94,Needs Reinspection
Restaurant,Restaurant: 51-150 Seats,24 Fremont,2393 NE Fremont St,Portland,97212,Tesseract Properties LLC,12/4/2019,Semi-Annual,95,Needs Reinspection
Restaurant,Restaurant: 16-50 Seats,24th and Meatballs,2341 NE Glisan St,Portland,97232,24th And Meatballs,12/27/2019,Semi-Annual,100,Complied
Restaurant,Restaurant: 16-50 Seats,24th and Meatballs,2341 NE Glisan St,Portland,97232,24th And Meatballs,6/19/2018,Semi-Annual,97,Complied
Restaurant,Restaurant: 16-50 Seats,24th and Meatballs,2341 NE Glisan St,Portland,97232,24th And Meatballs,4/16/2019,Semi-Annual,94,Complied
Restaurant,Restaurant: 16-50 Seats,2nd St Bar,40 NE 2nd St,Gresham,97030,Vroom Llc,8/22/2018,Semi-Annual,100,Complied
Restaurant,Restaurant: 16-50 Seats,2nd St Bar,40 NE 2nd St,Gresham,97030,Vroom Llc,2/12/2019,Semi-Annual,84,Complied
Restaurant,Restaurant: 16-50 Seats,2nd St Bar,40 NE 2nd St,Gresham,97030,Vroom Llc,10/16/2019,Semi-Annual,90,Complied
Restaurant,Restaurant: 51-150 Seats,3 Doors Down Cafe,1429 SE 37th Ave,Portland,97214,David Marth,9/27/2018,Semi-Annual,100,Complied
Restaurant,Restaurant: 51-150 Seats,3 Doors Down Cafe,1429 SE 37th Ave,Portland,97214,David Marth,5/22/2019,Semi-Annual,100,Complied
Restaurant,Restaurant: 16-50 Seats,3 Reyes Restaurant,620 SE 181st Ave,Portland,97233,Ana Ma Santos Reyes,9/17/2019,Semi-Annual,87,Complied
Restaurant,Restaurant: 16-50 Seats,3 Reyes Restaurant,620 SE 181st Ave,Portland,97233,Ana Ma Santos Reyes,12/11/2018,Semi-Annual,100,Complied
Restaurant,Restaurant: 16-50 Seats,3 Reyes Restaurant,620 SE 181st Ave,Portland,97233,Ana Ma Santos Reyes,3/15/2018,Semi-Annual,92,Complied
Restaurant,Restaurant: 51-150 Seats,3 Sheets At The Harbor,11505 NE Yacht Harbor Dr # 108,Portland,97217,Fhl Marina Llc,8/21/2018,Semi-Annual,97,Needs Reinspection
Restaurant,Restaurant: 51-150 Seats,3 Sheets At The Harbor,11505 NE Yacht Harbor Dr # 108,Portland,97217,Fhl Marina Llc,8/15/2019,Semi-Annual,80,Needs Reinspection
Restaurant,Restaurant: 51-150 Seats,3 Sheets At The Harbor,11505 NE Yacht Harbor Dr # 108,Portland,97217,Fhl Marina Llc,3/6/2019,Semi-Annual,92,Complied
Restaurant,Restaurant: 16-50 Seats,40 LBS Coffee,824 SW 2nd Ave,Portland,97204,40 LBS Coffee LLC,8/6/2019,Semi-Annual,81,Complied
Restaurant,Restaurant: 16-50 Seats,40 LBS Coffee,824 SW 2nd Ave,Portland,97204,40 LBS Coffee LLC,2/4/2019,Semi-Annual,97,Complied
Restaurant,Restaurant: 16-50 Seats,40 LBS Coffee,824 SW 2nd Ave,Portland,97204,40 LBS Coffee LLC,8/2/2018,Semi-Annual,87,Needs Reinspection
Restaurant,Restaurant: 16-50 Seats,42nd Ave Fish & Chip,5302 NE 42nd Ave,Portland,97218,42nd Ave Fish And Chip Llc,2/21/2019,Semi-Annual,94,Complied
Restaurant,Restaurant: 16-50 Seats,42nd Ave Fish & Chip,5302 NE 42nd Ave,Portland,97218,42nd Ave Fish And Chip Llc,10/8/2019,Semi-Annual,92,Needs Reinspection
Restaurant,Restaurant: 16-50 Seats,42nd Ave Fish & Chip,5302 NE 42nd Ave,Portland,97218,42nd Ave Fish And Chip Llc,6/26/2018,Semi-Annual,100,Complied
Restaurant,Restaurant: 16-50 Seats,45th St. Pub,4511 SW Beaverton Hillsdale Hwy,Portland,97221,CDR Corp,11/6/2018,Semi-Annual,90,Complied
Restaurant,Restaurant: 16-50 Seats,45th St. Pub,4511 SW Beaverton Hillsdale Hwy,Portland,97221,CDR Corp,11/13/2019,Semi-Annual,95,Complied
Restaurant,Restaurant: 16-50 Seats,45th St. Pub,4511 SW Beaverton Hillsdale Hwy,Portland,97221,CDR Corp,4/25/2018,Semi-Annual,95,Complied
Restaurant,Restaurant: 16-50 Seats,45th St. Pub,4511 SW Beaverton Hillsdale Hwy,Portland,97221,CDR Corp,5/23/2019,Semi-Annual,100,Complied
Restaurant,Restaurant: 16-50 Seats,48 North,8801 N Lombard St,Portland,97203,Crafty Mac Inc.,5/21/2019,Semi-Annual,97,Complied
Restaurant,Restaurant: 16-50 Seats,48 North,8801 N Lombard St,Portland,97203,Crafty Mac Inc.,12/3/2018,Semi-Annual,100,Complied
Restaurant,Restaurant: 51-150 Seats,501 DELI,501 N Dixon St,Portland,97227,"Portland Public Schools, Nutrition Services Department",5/16/2018,Semi-Annual,95,Complied
Restaurant,Restaurant: 51-150 Seats,501 DELI,501 N Dixon St,Portland,97227,"Portland Public Schools, Nutrition Services Department",10/17/2019,Semi-Annual,97,Needs Reinspection
Restaurant,Restaurant: 51-150 Seats,501 DELI,501 N Dixon St,Portland,97227,"Portland Public Schools, Nutrition Services Department",5/20/2019,Semi-Annual,100,Complied
Restaurant,Restaurant: 51-150 Seats,501 DELI,501 N Dixon St,Portland,97227,"Portland Public Schools, Nutrition Services Department",11/15/2018,Semi-Annual,100,Complied
Restaurant,Restaurant: 16-50 Seats,52nd Ave Sports Bar,5201 NE Sandy Blvd,Portland,97213,Sherian Entertainment Llc,4/18/2019,Semi-Annual,95,Complied
Restaurant,Restaurant: 16-50 Seats,52nd Ave Sports Bar,5201 NE Sandy Blvd,Portland,97213,Sherian Entertainment Llc,10/26/2018,Semi-Annual,100,Complied
Restaurant,Restaurant: 16-50 Seats,52nd Ave Sports Bar,5201 NE Sandy Blvd,Portland,97213,Sherian Entertainment Llc,10/28/2019,Semi-Annual,100,Complied
Restaurant,Restaurant: 16-50 Seats,52nd Ave Sports Bar,5201 NE Sandy Blvd,Portland,97213,Sherian Entertainment Llc,3/22/2018,Semi-Annual,100,Complied
Restaurant,Restaurant: 51-150 Seats,7 Elements,5827 E Burnside St,Portland,97215,7 Elements,6/28/2018,Semi-Annual,75,Needs Reinspection
Restaurant,Restaurant: 51-150 Seats,7 Elements,5827 E Burnside St,Portland,97215,7 Elements,5/6/2019,Semi-Annual,80,Complied
Restaurant,Restaurant: 16-50 Seats,715 Inn,715 NE BROADWAY Street,Portland,97232,Devans Pub Inc,4/29/2019,Semi-Annual,100,Complied
Restaurant,Restaurant: 16-50 Seats,715 Inn,715 NE BROADWAY Street,Portland,97232,Devans Pub Inc,6/26/2018,Semi-Annual,100,Complied
Restaurant,Restaurant: 16-50 Seats,82nd Street Bar and Grill,5028 SE 82nd Ave,Portland,97266,88 Badillo Inc,1/25/2019,Semi-Annual,92,Complied
Restaurant,Restaurant: 16-50 Seats,82nd Street Bar and Grill,5028 SE 82nd Ave,Portland,97266,88 Badillo Inc,8/16/2019,Semi-Annual,100,Complied
Restaurant,Restaurant: 16-50 Seats,A Cena Festa,7730 SE 13th Ave,Portland,97202,A Cena Restorante Inc,4/26/2019,Semi-Annual,100,Complied
Restaurant,Restaurant: 16-50 Seats,A Cena Festa,7730 SE 13th Ave,Portland,97202,A Cena Restorante Inc,12/17/2019,Semi-Annual,100,Complied
Restaurant,Restaurant: 16-50 Seats,A Cena Festa,7730 SE 13th Ave,Portland,97202,A Cena Restorante Inc,3/29/2018,Semi-Annual,95,Complied
Restaurant,Restaurant: 16-50 Seats,A Cena Festa,7730 SE 13th Ave,Portland,97202,A Cena Restorante Inc,1/17/2019,Semi-Annual,100,Complied
Restaurant,Restaurant: 51-150 Seats,A L Sports Pub,5933 NE Glisan St,Portland,97213,A L Sports Pub,12/4/2018,Semi-Annual,100,Complied
Restaurant,Restaurant: 51-150 Seats,A L Sports Pub,5933 NE Glisan St,Portland,97213,A L Sports Pub,4/9/2018,Semi-Annual,95,Complied
Restaurant,Restaurant: 51-150 Seats,A L Sports Pub,5933 NE Glisan St,Portland,97213,A L Sports Pub,6/7/2019,Semi-Annual,92,Complied
Restaurant,Catering Only,A Wonderland of Food,4943 NE Martin Luther King Jr,Portland,97211,Alison Tucker,12/10/2019,Semi-Annual,100,Complied
Restaurant,Restaurant: 51-150 Seats,Aalto Lounge,3356 SE Belmont St,Portland,97214,War Room Llc,10/28/2019,Semi-Annual,100,Complied
Restaurant,Restaurant: 51-150 Seats,Aalto Lounge,3356 SE Belmont St,Portland,97214,War Room Llc,1/10/2019,Semi-Annual,100,Complied
Restaurant,Restaurant: 51-150 Seats,Aalto Lounge,3356 SE Belmont St,Portland,97214,War Room Llc,4/25/2018,Semi-Annual,100,Complied
Restaurant,Restaurant: 51-150 Seats,Abbys Pizza and Grill,21255 SE Stark St,Gresham,97030,Abby's Inc,11/7/2019,Semi-Annual,100,Complied
Restaurant,Restaurant: 51-150 Seats,Abbys Pizza and Grill,21255 SE Stark St,Gresham,97030,Abby's Inc,10/9/2018,Semi-Annual,100,Complied
