Name,Score,Address,City,Zip
McCormick and Schmicks Harborside at the Marina,93.25,0309 SW Montgomery St,Portland,97201
Yomi Sushi,97.33333333,0315 SW Montgomery St 120,Portland,97201
Upstream Coffee,95,0315 SW Montgomery St 200,Portland,97201
Little River Cafe,100,0315 SW Montgomery St 310,Portland,97201
IL Terrazzo,91,0315 SW Montgomery St Suite 340,Portland,97201
Aquariva,92,0470 SW Hamilton Ct,Portland,97239
Bamboo Grove Hawaiian Grille,80,0515 SW Carolina St,Portland,97239
Phoenix Roasters Company/Dakota Phoenix Roasters Co,92,0614 SW Dakota St,Portland,97239
Lewis and Clark College Commons Fields Dining Rm,95.4375,0615 SW Palatine Hill Rd,Portland,97219
Fulton Pub and Brewery,92,0618 SW Nebraska St,Portland,97239
What's the Scoop Too,97,0664 SW Gaines St,Portland,97239
Sweet Heart Pizza,83,0672 SW Gaines St,Portland,97239
Blue Star Donuts,96.33333333,0672 SW Gaines St Unit 2,Portland,97239
Levy Commissary Rg,97.2,1 N Center Court St,Portland,97227
Levy Studio Suite 2,96,1 N Center Court St 150,Portland,97227
Levy Pines Bar,97,1 N Center Court St Ste A,Portland,97227
"Levy Ruby Jewel 200,",100,1 N Center Court St Ste B,Portland,97227
Levy Restaurants Whole Sum,96,1 N Center Court St Ste C,Portland,97227
"Levy Studio Suite 1,",94.5,1 N Center Court St Ste D,Portland,97227
Levy Speck 200,97.5,1 N Center Court St Ste E,Portland,97227
"Levy Cha Cha Cha 200,",100,1 N Center Court St Ste F,Portland,97227
Dantes,86.33333333,1 SW 3rd Ave,Portland,97204
Plaza Deli,94.625,1 SW Columbia St 100,Portland,97258
Volunteers of America,97,10 N Weidler St,Portland,97227
Navarre,92.5,10 NE 28th Ave,Portland,97232
"Henrys 12th Street Tavern, #81",97.5,10 NW 12th Ave,Portland,97209
KEX,79,100 NE Martin Luther King Boulevard,Portland,97232
Bambuza Vietnam Kitchen & Bar,92,100 NW 10th Ave,Portland,97209
"Starbucks Coffee, #14998",100,100 SW Main St 125,Portland,97204
Freshii,100,100 SW Main St 130,Portland,97204
"Garden Bar, Ste A1",95,100 SW Market St,Portland,97201
Sweet Bettys Bistro,87.33333333,1000 N Main Ave,Gresham,97030
Doubletree by Hilton Portland,96.44444444,1000 NE Multnomah St,Portland,97232
Triple Lindy,100,1000 NW 17th Ave,Portland,97209
Comfort Inn,99,1000 NW Graham Rd,Troutdale,97060
Roadside Attraction,98.33333333,1000 SE 12th Ave,Portland,97214
Mayas Tacqueria,87,1000 SW Morrison St,Portland,97205
Ozzie's Deli & Gyros,98.5,10000 SE Main Street,Portland,97216
