Name,Score,Address,City,Zip
McCormick and Schmicks Harborside at the Marina,93.25,0309 SW Montgomery St,Portland,97201.0
Yomi Sushi,97.33333333,0315 SW Montgomery St 120,Portland,97201.0
Upstream Coffee,95.0,0315 SW Montgomery St 200,Portland,97201.0
Little River Cafe,100.0,0315 SW Montgomery St 310,Portland,97201.0
IL Terrazzo,91.0,0315 SW Montgomery St Suite 340,Portland,97201.0
Aquariva,92.0,0470 SW Hamilton Ct,Portland,97239.0
Bamboo Grove Hawaiian Grille,80.0,0515 SW Carolina St,Portland,97239.0
Phoenix Roasters Company/Dakota Phoenix Roasters Co,92.0,0614 SW Dakota St,Portland,97239.0
Lewis and Clark College Commons Fields Dining Rm,95.4375,0615 SW Palatine Hill Rd,Portland,97219.0
Fulton Pub and Brewery,92.0,0618 SW Nebraska St,Portland,97239.0
What's the Scoop Too,97.0,0664 SW Gaines St,Portland,97239.0
Sweet Heart Pizza,83.0,0672 SW Gaines St,Portland,97239.0
Blue Star Donuts,96.33333333,0672 SW Gaines St Unit 2,Portland,97239.0
Levy Commissary Rg,97.2,1 N Center Court St,Portland,97227.0
Levy Studio Suite 2,96.0,1 N Center Court St 150,Portland,97227.0
Levy Pines Bar,97.0,1 N Center Court St Ste A,Portland,97227.0
"Levy Ruby Jewel 200,",100.0,1 N Center Court St Ste B,Portland,97227.0
Levy Restaurants Whole Sum,96.0,1 N Center Court St Ste C,Portland,97227.0
"Levy Studio Suite 1,",94.5,1 N Center Court St Ste D,Portland,97227.0
Levy Speck 200,97.5,1 N Center Court St Ste E,Portland,97227.0
"Levy Cha Cha Cha 200,",100.0,1 N Center Court St Ste F,Portland,97227.0
Dantes,86.33333333,1 SW 3rd Ave,Portland,97204.0
Plaza Deli,94.625,1 SW Columbia St 100,Portland,97258.0
Volunteers of America,97.0,10 N Weidler St,Portland,97227.0
Navarre,92.5,10 NE 28th Ave,Portland,97232.0
"Henrys 12th Street Tavern, #81",97.5,10 NW 12th Ave,Portland,97209.0
KEX,79.0,100 NE Martin Luther King Boulevard,Portland,97232.0
Bambuza Vietnam Kitchen & Bar,92.0,100 NW 10th Ave,Portland,97209.0
"Starbucks Coffee, #14998",100.0,100 SW Main St 125,Portland,97204.0
Freshii,100.0,100 SW Main St 130,Portland,97204.0
"Garden Bar, Ste A1",95.0,100 SW Market St,Portland,97201.0
Doubletree by Hilton Portland,96.44444444,1000 NE Multnomah St,Portland,97232.0
Triple Lindy,100.0,1000 NW 17th Ave,Portland,97209.0
Roadside Attraction,98.33333333,1000 SE 12th Ave,Portland,97214.0
Mayas Tacqueria,87.0,1000 SW Morrison St,Portland,97205.0
Ozzie's Deli & Gyros,98.5,10000 SE Main Street,Portland,97216.0
Elmer's Restaurant - Parkrose,97.0,10001 NE Sandy Blvd,Portland,97220.0
Applebees Neighborhood Grill & Bar,97.33333333,10004 NE Halsey St,Portland,97220.0
"Red Robin Americas Gourmet Burgers Spirits, #533",100.0,10005 NE Cascades Pkwy,Portland,97220.0
Dee's Corner Cafe,98.5,1001 SE 135th Avenue,Portland,97233.0
Holocene,100.0,1001 SE Morrison St,Portland,97214.0
Clark Lewis,91.5,1001 SE Water Ave 160,Portland,97214.0
Headwaters Restaurant,89.25,1001 SW Broadway,Portland,97205.0
"Starbucks Coffee, #8737",99.0,10010 SW Barbur Blvd,Portland,97219.0
Brewed Awakening,96.83333333,10015 SW Terwilliger Blvd,Portland,97219.0
Original Hotcake House,90.33333333,1002 SE Powell Blvd,Portland,97202.0
Black Rock Coffee Bar,93.0,10020 SW Capitol Hwy,Portland,97219.0
Bridgetown Caffe NW,92.0,1003 SW 5th Ave,Portland,97204.0
Koi Gardens,99.0,10041 NE Glisan St,Portland,97220.0
Normandie,98.5,1005 SE Ankeny St,Portland,97214.0
Shigezo,67.25,1005 SW Park Ave,Portland,97205.0
World Cup Coffee and Tea,99.25,1005 W Burnside St,Portland,97209.0
"McDonalds, #13589",93.0,10050 SW Barbur Blvd,Portland,97219.0
Red E Cafe,97.33333333,1006 N Killingsworth St,Portland,97217.0
"Round Table Pizza, #319",96.33333333,10070 SW Barbur Blvd,Portland,97219.0
"Arbys, #1647",100.0,10071 SE Washington St,Portland,97216.0
Domino's,95.0,10075 SW Barbur Blvd #7,Portland,97219.0
Thai Orchid,86.0,10075 SW Barbur Blvd 1,Portland,97219.0
Brother's Wings & Bings,77.0,10075 SW Barbur Blvd 4,Portland,97219.0
Toffee Club,98.0,1008 SE Hawthorne Blvd,Portland,97214.0
"Starbucks Coffee, #474",100.0,1009 SW 6th Ave,Portland,97204.0
"Panda Express, #639",97.33333333,10090 SE Washington St,Portland,97216.0
Baja Fresh Mexican Grill,100.0,10090 SE Washington St 100,Portland,97216.0
"Dottys Mall 205, #29",98.33333333,10090 SE Washington St 105,Portland,97216.0
Subway,98.75,101 NW 2nd Ave,Portland,97209.0
Farm House Cafe,82.5,101 SW Main St Ste 125,Portland,97204.0
CY Holladay,95.0,1010 NE 7th Ave,Portland,97232.0
SHO Authentic,92.0,10100 SW Barbur Blvd,Portland,97219.0
"Starbucks Coffee, #11544",100.0,10103 NE Cascades Pkwy,Portland,97220.0
Cha Cha Cha Taqueria,90.0,10107 NE Cascades Pkwy Suite F,Portland,97220.0
Bye and Bye Cafe and Bar,100.0,1011 NE Alberta St,Portland,97211.0
Le Happy Creperie & bar,100.0,1011 NW 16th Ave,Portland,97209.0
By Design Pizza,96.66666667,10111 NE Cascades Pkwy Ste C,Portland,97220.0
"Starbucks Coffee, #480",100.0,10112 NE Halsey St,Portland,97220.0
Andale Andale Mexican Restaurant,79.0,10114 SE Division St,Portland,97266.0
Bernie's Teriyaki and Hamburgers,94.0,1012 NE Columbia Blvd,Portland,97211.0
"Starbucks Coffee, #428",100.0,1012 NW 21st Ave,Portland,97209.0
Pho Van Fresh,90.0,1012 NW Glisan St,Portland,97209.0
Habibi Restaurant,90.75,1012 SW Morrison St,Portland,97205.0
Gateway Subway,95.0,10120 NE Halsey St,Portland,97220.0
Jersey Mikes Subs,92.33333333,10123 NE Cascades Pkwy Bldg N,Portland,97220.0
Adventist Health Portland,100.0,10123 SE Market St,Portland,97216.0
Hotpot n Sushi Cascade Station,95.25,10127 NE Cascades Pkwy,Portland,97220.0
Fuller's Burger Shack,100.0,10131 NE Cascades Pkwy S-5HO,Portland,97220.0
Sub Factory,97.25,10139 SE Foster Rd,Portland,97266.0
Clyde Common,87.0,1014 SW Stark St,Portland,97205.0
Kobos Cafe Legacy Good Samaritan Hospital,99.27272727,1015 NW 22nd Ave,Portland,97210.0
Teardrop Lounge,99.0,1015 NW Everett St,Portland,97209.0
Can Font,93.75,1015 NW Northrup St,Portland,97209.0
Roseline Coffee,100.0,1015 SE 11th #100 Ave,Portland,97214.0
Taqueria El Cazador,98.75,10151 SE Foster Rd,Portland,97266.0
Hospitality Inn,89.0,10155 SW Capitol Hwy,Portland,97219.0
"Starbucks Coffee, #21935",100.0,1017 NE Martin Luther King Jr Blvd,Portland,97232.0
Bibi 2 Go,98.0,1019 NW 23rd Ave,Portland,97210.0
Art of Catering,98.0,1019 NW Everett St,Portland,97209.0
Fortune,100.0,102 NW 4th Ave,Portland,97209.0
Paymaster Lounge,100.0,1020 NW 17th Ave,Portland,97209.0
EZ Freezy,100.0,10209 NE Cascades Pkwy,Portland,97220.0
Epic Sports Bar,86.33333333,10209 SE Division St Ste 101,Portland,97266.0
Altabira City Tavern,93.0,1021 NE Grand Ave,Portland,97232.0
Jake Brake Deli,90.75,10210 N Vancouver Way,Portland,97217.0
"Panda Express, #1497",99.25,10213 NE Cascades Pkwy,Portland,97220.0
"Baba's Mediterranean Grill,",92.0,10215 NE Cascades Pkwy,Portland,97220.0
"Starbucks Coffee, #14044",99.0,10215 SE Stark St,Portland,97216.0
Sinju Pearl Restaurant,96.0,1022 NW Johnson St,Portland,97209.0
Mucca Osteria,86.75,1022 SW Morrison St,Portland,97205.0
Ace Hotel Breakfast Nook,96.25,1022 SW Stark St,Portland,97205.0
Wailua Shave Ice Portland,95.75,1022 W Burnside St O,Portland,97209.0
Bills Steakhouse,98.33333333,10227 NE Sandy Blvd,Portland,97220.0
Pho Da Lat,93.0,10232 NE Sandy Blvd,Portland,97220.0
Don Pedro Mexican & American Restaurant,100.0,1024 NE 82nd Ave,Portland,97220.0
Chens Dynasty II,89.5,1025 NE Broadway,Portland,97232.0
Boxer Ramen,94.0,1025 SW Stark St,Portland,97205.0
Persian House Deli,86.0,1026 SW Morrison St,Portland,97205.0
Stumptown Coffee Roasters,96.0,1026 SW Stark St,Portland,97205.0
Basement,100.0,1028 SE 12th Ave,Portland,97214.0
Bunk Bar,97.4,1028 SE Water Ave,Portland,97214.0
Boke Bowl,93.5,1028 SE Water Ave 120,Portland,97214.0
